country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","20-06-2026 19:00:00",23.331731,75.045981,PM10,15,91,62
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","20-06-2026 19:00:00",23.838586,78.759431,SO2,7,16,9
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","20-06-2026 19:00:00",24.58434363,80.8549414,PM10,69,71,70
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","20-06-2026 19:00:00",24.58434363,80.8549414,SO2,17,19,18
India,"Madhya Pradesh",Ujjain,"Mahashweta Nagar, Ujjain - MPPCB","20-06-2026 19:00:00",23.1633321,75.800225,NO2,9,33,25
India,"Madhya Pradesh",Ujjain,"Mahashweta Nagar, Ujjain - MPPCB","20-06-2026 19:00:00",23.1633321,75.800225,NH3,3,9,6
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","20-06-2026 19:00:00",20.719516,77.000253,PM2.5,25,55,43
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","20-06-2026 19:00:00",20.719516,77.000253,SO2,9,14,12
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","20-06-2026 19:00:00",20.939198,77.765701,NO2,3,25,7
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","20-06-2026 19:00:00",19.875620,75.387310,PM2.5,33,62,47
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC","20-06-2026 19:00:00",34.066206,74.819820,OZONE,1,2,2
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","20-06-2026 19:00:00",23.80569,86.44268,SO2,NA,NA,NA
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","20-06-2026 19:00:00",16.172806,75.659694,NH3,1,1,1
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","20-06-2026 19:00:00",12.9135218,77.5950804,CO,40,54,52
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","20-06-2026 19:00:00",12.9352049,77.6814488,CO,34,40,36
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","20-06-2026 19:00:00",12.951913,77.539784,SO2,2,45,23
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","20-06-2026 19:00:00",13.029152,77.585901,PM2.5,12,76,33
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","20-06-2026 19:00:00",13.029152,77.585901,NO2,7,24,20
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","20-06-2026 19:00:00",12.938539,77.590100,PM10,45,104,68
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","20-06-2026 19:00:00",12.938539,77.590100,NO2,15,70,31
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","20-06-2026 19:00:00",12.920984,77.584908,PM2.5,35,108,65
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","20-06-2026 19:00:00",12.917348,77.622813,NO2,8,24,15
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","20-06-2026 19:00:00",11.55358,76.55521,PM10,29,46,38
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","20-06-2026 19:00:00",11.55358,76.55521,NH3,1,2,2
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","20-06-2026 19:00:00",11.55358,76.55521,CO,13,23,21
